tweetId,user,created,no_of_likes,source_of_tweet,sentiment,,,
877,MuriithiStephen,2021-10-20 11:00:58+00:00,0,None,"@moderna_tx hi , got a moderna covid 19 vaccine batch no.049E21A here in Kenya on Sept 14th and more than a month after am still having discomfort on my arm where the injection was done! Is this u...",,,
878,CBCC_Africa,2021-10-20 07:31:00+00:00,0,None,"Heroes today have taken initiative in fighting COVID-19 by getting the COVID-19 vaccine, get the COVID-19 vaccine and continue observing the safety guidelines. Happy Mashujaa Day! #PataChanjoKaaCh...",,,
879,DigiRedio,2021-10-20 06:50:08+00:00,3,None,"Heroes today have taken initiative in fighting COVID-19 by getting the COVID-19 vaccine, get the COVID-19 vaccine and continue observing the safety guidelines. Happy Mashujaa Day! #PataChanjoKaaCh...",,,
880,SaveChildren_KE,2021-10-20 05:00:00+00:00,3,None,The @MOH_Kenya and medical professionals all over the country can tell you about common side effects from the COVID-19 vaccines. Don’t let rumors' get in the way of the facts. #PataChanjoKaaChonjo...,,,
881,AIB_AXYSAfrica,2021-10-19 13:24:09+00:00,2,None,"3.The World Bank has delayed release of sh14. 4bn loan to help Kenya buy Covid-19 vaccines, threatening the government's plan to inoculate 10million people by December. The Treasury has disclosed ...",,,
882,AmChamKE,2021-10-19 12:08:29+00:00,0,None,"#Covid_19 vaccines in Kenya are FREE of charge in all government-approved vaccination sites in your county. For more information, visit one of these facilities: https://t.co/F2PVRtI13k  #PataChanj...",,,
883,ck_blak,2021-10-19 07:23:47+00:00,0,None,@wmnjoya Tell me how despite all the professors in medical field Africa boasts of we can't produce COVID-19 vaccine??? By the way no single bridge in Kenya has ever been designed by Kenya engineer...,,,
884,SaveChildren_KE,2021-10-19 05:00:01+00:00,1,None,"Usilipe! COVID-19 vaccines are available FREE of charge in all @MOH_Kenya approved vaccination sites in your county. For more information, visit one of these facilities. Learn more: https://t.co/U...",,,
885,Blogs_Kenya,2021-10-18 12:38:09+00:00,0,None,"Nairobi leads in vaccine uptake at 31.7 per cent: Nairobi County is still at the top of the COVID-19 vaccination table, leading with 14.2 per cent of its population fully vaccinated while 31.7 per...",,,
886,BeirutMputhia,2021-10-17 09:54:04+00:00,5,None,"@gathara @gathara try doing Covid-19 vaccine sensitization exercise, you will weep.  Trying to sensitize Grown Adults is difficult even with all the info flying around. Am appalled that none of 'T...",,,
887,BrookingsGlobal,2021-10-16 14:05:00+00:00,1,None,"This week’s Africa in the news: Mauritius-based IHS Holding Ltd. IPO valued at almost $7 billion, COVID-19 and Ebola vaccine updates, and ICJ ruling on Somalia-Kenya maritime dispute https://t.co/...",,,
888,LukoyeAtwoli,2021-10-16 09:37:04+00:00,92,None,The 4th COVID-19 surge in Kenya that is thought to have been fueled by the Delta Variant seems to have subsided.\n\nWe must now ramp up vaccination and improve surveillance in order to better hand...,,,
889,NationAfrica,2021-10-16 06:20:00+00:00,18,None,There is a growing concern by health experts in Western Kenya over the rate of people failing to go for the second dose of the Covid-19 vaccine.   \n\nhttps://t.co/VVBZBKFpyW,,,
890,LeonLidigu,2021-10-16 03:40:18+00:00,0,None,There is a growing concern by health experts in Western Kenya over the rate of people failing to go for the second dose of the Covid-19 vaccine.  https://t.co/iwlYdiUFk4,,,
891,_WinstonEric,2021-10-15 19:48:05+00:00,0,None,Covid-19 Vaccine Hesitancy In Kenya And Its Impact On The Labour Market https://t.co/wF8FZ333iv via @TheLabourWatch,,,
892,kutv_kenya,2021-10-15 18:33:06+00:00,0,None,Us President Joe Biden has announced an us government donation of 17 million more covid-19 vaccines to the African union. \n\nBiden announced this during his meeting with president Uhuru Kenya at ...,,,
893,NationAfrica,2021-10-15 18:30:00+00:00,7,None,There is a growing concern by health experts in Western Kenya over the rate of people failing to go for the second dose of the Covid-19 vaccine.  \n\nhttps://t.co/VVBZBKnOam,,,
894,cgtnamerica,2021-10-15 18:26:34+00:00,0,None,"U.S. President Biden pledged more than 17 million doses of the Johnson & Johnson COVID-19 vaccine to the #African Union on Thursday, when he met with President Uhuru Kenyatta  the Republic of ...",,,
895,News_Kenya,2021-10-15 13:56:43+00:00,0,None,Kenya among signatories to China’s push for global vaccine equity: Kenya is among 74 countries that have rallied behind China’s push for global solidarity and equity in covid-19 vaccine distributi...,,,
896,KTVUGANDA,2021-10-15 13:47:35+00:00,1,None,#KTVUpdates | Biden meets with Kenya's Kenyatta at White House\nPresident Joe Biden met in the Oval Office Thursday with Kenya's President Uhuru Kenyatta and pledged the U.S. will donate 17 millio...,,,
897,HonAmosKimunya,2021-10-15 13:12:58+00:00,14,None,"PORK thanked POTUS for the continued assistance to Kenya and the African continent in the fight against Covid-19, and welcomed the additional donation of 17 million doses to the AU noting that Afr...",,,
898,TheStarKenya,2021-10-15 12:28:52+00:00,44,None,President Uhuru Kenyatta has thanked the American Government for the continued assistance to Kenya and the African continent in the fight against Covid-19 noting that the continent was struggling ...,,,
899,mazimaug,2021-10-15 10:19:50+00:00,2,None,UPDATE: President Joe Biden met in the Oval Office Thursday with Kenya's President Uhuru Kenyatta and pledged that the U.S. will donate 17 million additional doses of Johnson & Johnson COVID-1...,,,
900,scribbledsafari,2021-10-14 20:28:27+00:00,0,None,Getting our Covid-19 Vaccine in Kenya https://t.co/ubNo3NVaGz,,,
901,agmutambo,2021-10-14 20:22:58+00:00,5,None,US to donate 17 million doses of Johnson & Johson Covid-19 vaccines to the @_AfricanUnion. @POTUS made the announcement this evening in a meeting with President Uhuru Kenyatta of  #Kenya,,,
902,ericotienoN,2021-10-14 18:06:38+00:00,0,None,"@MOH_Kenya Hi. I received my 1st COVID-19 Vaccine at Mbagathi Hospital, and the 2nd one outside the country since it was due when I was abroad, and there were challenges of availability of the vac...",,,
903,kerichocountygv,2021-10-14 15:51:36+00:00,2,None,The Kenya Red Cross Society in partnership with the County Govt of Kericho held a training workshop for media personnel on COVID-19 vaccines sensitization. \nGovernor Chepkwony who graced the trai...,,,
904,News_Kenya,2021-10-14 14:00:40+00:00,0,None,Interior ministry commends uptake of Covid-19 jabs in prisons: The Ministry of Interior and Coordination of National Government has expressed satisfaction with the uptake of Covid-19 vaccines in p...,,,
905,MTaPS_Program,2021-10-14 13:56:37+00:00,5,None,"#MTaPSUpdate: Expert perspectives on #InfectionPrevention and control in Uganda, improving MNCH #PatientSafety, and insightful articles on the proven safety of COVID-19 #vaccines and an innovative...",,,
906,Nicholascorney,2021-10-14 08:44:12+00:00,0,None,@ItsJesseJames @RobertAlai I don't underestimate the impact of Malaria vaccine especially in Kenya. We shouldn't lose children because of a mosquito bite. But just like Covid-19 vaccine. The malar...,,,
907,mmnjug,2021-10-14 05:54:51+00:00,2,None,The number of countries that holders of Kenya’s passport cannot access has dropped to 43 countries from 54 in July as countries ease travel restrictions in the wake of Covid-19 vaccines. https://t...,,,
908,TaalamuNewsKE,2021-10-13 16:26:05+00:00,2,None,Countries banning Kenya passport holders fall to 43. \n\nThe number of countries that holders of Kenya’s passport cannot access has dropped to 43 countries from 54 in July as countries ease travel...,,,
909,jwormington,2021-10-13 11:51:20+00:00,35,None,"Wealthy countries have vaccines and stimulus payments.\n\nPoorer countries don't have enough of either.\n\nNew @hrw research on rising hunger and poverty during Covid-19 in #Kenya, #Nigeria, #Ghan...",,,
910,WRadigo,2021-10-13 04:37:56+00:00,0,None,The number of countries that holders of Kenya’s passport cannot access has dropped to 43 countries from 54 in July as countries ease travel restrictions in the wake of Covid-19 vaccines.,,,
911,TheCABC,2021-10-12 14:14:09+00:00,2,None,THE VAX DIVIDE\nCitizens of several sub-Saharan countries are widely divided over their level of trust in Covid-19 vaccinations. This emerged from ground-breaking analysis of vaccine sentiment on ...,,,
912,AcheniUongo,2021-10-12 10:14:27+00:00,1,None,@MOH_Kenya @NMS_Kenya  Where is #Covid_19 vaccine being administered in  Ngong or Karen?\n\nMombasa Road\nKeter\n#tuesdaymotivations #mashujaaawards2021nominations,,,
913,soila_kenya,2021-10-12 08:36:45+00:00,19,None,"#journorequest\n\nI'm looking for anyone (doctors, government officials, health organizations/NGOs etc) who can update me on the uptake of the HPV vaccine in Kenya since it was introduced in 2019,...",,,
914,MOH_Kenya,2021-10-12 06:54:51+00:00,35,None,The development of safe & effective COVID-19 vaccines is a huge step forward in our global effort to end the pandemic. #PataChanjoKaaChonjo https://t.co/RY83ZgUIxz,,,
915,mogire_jusper,2021-10-11 11:05:11+00:00,5,None,Mutahi Kagwe said in defence of the #Covid_19 vaccine 👇\n\nSome who have taken the jab have gotten twins\n\nWhen did the first vaccination happen in Kenya?\n\n10 months ago?,,,
916,tripperhead,2021-10-11 09:32:14+00:00,1,None,"Imported cases:\n\n#12268: 35/M arrived from Kenya via Addis Ababa on ET608 October 6. Tested positive in DQH Ramada Hong Kong Grand View, North Point.\n\nAsymptomatic\n\nL452R mutation strain pos...",,,
917,UNICEFSupply,2021-10-11 09:02:49+00:00,58,None,"💉 More than 700,000 COVID-19 vaccines have touched down in Kenya. \n\nThank you, France 🇫🇷 and Germany 🇩🇪, for donating these doses to #COVAX. \n\n#DonateDosesNow https://t.co/YMnlnObGiI",,,
918,BHolidaysafari,2021-10-10 05:55:14+00:00,0,None,"Jambo from Nairobi? Have you had your covid 19 vaccine and planning for a relaxed Holiday, Tour, Safari in Kenya? Tanzania? or combined Kenya and Tanzania safari... We Budget Holiday Safaris we ar...",,,
919,keguro_,2021-10-09 01:56:32+00:00,2,None,The U.S. is contemplating authorizing Covid-19 vaccines for children aged 5-11.\n\nAnd in Kenya?\n\nCBC and vibes.,,,
920,REDLIONMEDIA2,2021-10-09 01:55:58+00:00,0,None,"Over 701,900 AstraZeneca COVID-19 vaccines arrived safely in Kenya tonight.\n\nThe vaccines were donated by the Governments of Germany and France via the #COVAX facility. Asante @GermanyinKenya an...",,,
921,UNICEFKenya,2021-10-08 18:17:14+00:00,41,None,"Over 701,900 AstraZeneca COVID-19 vaccines arrived safely in Kenya tonight.\n\nThe vaccines were donated by the Governments of Germany and France via the #COVAX facility. Asante @GermanyinKenya an...",,,
922,switchtvkenya,2021-10-08 14:35:13+00:00,1,None,"Department of Health and Sanitation Busia, in collaboration with the Kenya Red Cross Society, has vaccinated a total 482 inmates at the Busia GK prison against Covid-19. \n\n451 males and 31 femal...",,,
923,News_Kenya,2021-10-08 12:02:11+00:00,0,None,"COVID-19: Global vaccine plan aims to end ‘two-track pandemic’: The UN World Health Organization (WHO) on Thursday unveiled an $8 billion pathway out of the COVID-19 pandemic, in a bid to make va....",,,
924,DciNelson,2021-10-08 10:38:01+00:00,1,None,"@_fels1 Is there any better in politics than Kenya in Kenya everything is politics ata mradi ya shule,ata hii COVID 19 vaccine bado ata direction ni politics",,,
925,gavi,2021-10-07 16:30:01+00:00,6,None,"""They are now curious about immunisation and the COVID-19 vaccine” - #COVID19 is hitting nomads in Kenya’s Rift Valley hard, prompting them to turn towards vaccination after years of hesitancy. @a...",,,
926,News_Kenya,2021-10-07 15:50:27+00:00,0,None,Covid-19: Over 4 million vaccinated as 218 test positive: Ministry of Health has confirmed that over 4  million people have received the Covid-19 vaccine in the country bringing the country close ...,,,
927,MOH_Kenya,2021-10-07 12:50:38+00:00,10,None,1/3\n\nA campaign that seeks to encourage stakeholders in the public transport sector to get vaccinated against Covid-19 was launched on Thursday amid concern over low uptake of vaccines in parts ...,,,
928,Robaa82,2021-10-07 09:37:27+00:00,0,None,They will Dumb the excess in Kenya! \nFinland joins Sweden and Denmark in limiting Moderna COVID-19 vaccine https://t.co/vu7GYUFrMh,,,
929,lookuptv,2021-10-07 08:51:34+00:00,2,None,"More than half of prisoners in Kenya have received the COVID-19 vaccine, said  Kenya Red Cross Society boss Asha Mohammed. #TheAllNewLookUpTV https://t.co/xEZ3l0JnRU",,,
930,irck_info,2021-10-07 08:39:57+00:00,8,None,.@irck_info Religious Leaders in Kenya through different platforms have been able to sensitize their congregants on COVID-19 &the uptake of the vaccine – @SHAMSAABUBAKAR2 during the Conference...,,,
931,CBCC_Africa,2021-10-07 08:07:53+00:00,0,None,@CODKABULSHADA through their fan clubs is undertaking community sensitisation on COVID-19 mass vaccination in Wajir through the Pata Chanjo Ya Tumaini campaign. Governor Ahmed Ali Muktar got the J...,,,
932,DigiRedio,2021-10-07 08:06:54+00:00,1,None,@CODKABULSHADA through their fan clubs is undertaking community sensitisation on COVID-19 mass vaccination in Wajir through the Pata Chanjo Ya Tumaini campaign. Governor Ahmed Ali Muktar got the J...,,,
933,CapitalFMKenya,2021-10-06 18:55:55+00:00,2,None,.@MOH_Kenya has warned that Kenyans may need annual vaccination against COVID-19 because the multiple vaccines currently in administration in the country have an immunity duration of a year. https...,,,
934,gavi,2021-10-06 18:30:00+00:00,8,None,"""They are now curious about immunisation and the COVID-19 vaccine” - #COVID19 is hitting nomads in Kenya’s Rift Valley hard, prompting them to turn towards vaccination after years of hesitancy. @a...",,,
935,ntvkenya,2021-10-06 18:08:24+00:00,8,None,Sting of Covid-19\n\nThe govt has sounded an alarm of a possible COVID-19 fifth wave. Concerns have emerged over the low uptake of vaccines in Western Kenya and Nyanza.\n\n#NTVTonight @hellenaura1...,,,
936,Apothecurry,2021-10-06 17:43:06+00:00,1,None,"""Of all the issues that have dogged America’s global leadership on COVID-19, the failure to supply proper syringes alongside its donations may be the most serious yet. The omission has already hal...",,,
937,laqtaph,2021-10-06 17:29:23+00:00,0,None,"@STweetycat @BrooklynNetcast @IB_Geo_D this came from a rolling stone article which was proved to be fake, the link they provided leads to a post about a gemstone mine in Kenya which has no mentio...",,,
938,BarackAran,2021-10-06 09:35:37+00:00,0,None,@KEPSA_KENYA @eastafricabiz where in Nairobi can one get Covid 19 single dose vaccine?,,,
939,hope2shine,2021-10-06 06:07:59+00:00,10,None,"In partnership with @MOH_Kenya, we are administering COVID-19 vaccines to urban slum residents at our main health clinic in Gatwekera, Kibera.\nhttps://t.co/8veKxEVHfY",,,
940,garvin_mungai,2021-10-06 04:38:22+00:00,3,None,The Moderna COVID-19 vaccine is 94% effective in preventing COVID-19 with symptoms. This vaccine is authorized for people age 18 and older. It requires two injections given 28 days apart.\n\n#Kuwa...,,,
941,Sesyline_KE,2021-10-06 03:56:51+00:00,1,None,"Covid-19 is a respiratory disease caused by Corona virus. It has and still continues to claim the lives of many people in the world. But now with the vaccine available, make the right move and be ...",,,
942,Nurr_Osman,2021-10-05 15:51:04+00:00,0,None,Has anyone received the Johnson & Johnson Covid-19 Vaccine in Nairobi? Anywhere in Kenya? Does anyone know any hospital that’s giving this vaccine? @Asmali77,,,
943,MwangiRukenya,2021-10-05 11:08:55+00:00,1,None,"In Kenya, these are the Covid-19 vaccines available:\n\n✅AstraZeneca\n✅Morderna\n✅Pfizer\n✅Johnson & Johnson \n✅Sinopharm\n\nCheck on the Ministry of Health's website https://t.co/Bp6HjB2HZO f...",,,
944,MwangiRukenya,2021-10-05 10:10:57+00:00,2,None,COVID-19 vaccines help our bodies develop immunity to the virus that causes COVID-19 without us having to get the illness. Different types of vaccines work in different ways to offer protection. L...,,,
945,StandardKenya,2021-10-05 10:05:00+00:00,5,None,"All vaccines are effective in preventing severe disease and death due to Covid 19. WHO approved vaccines continue to be highly effective at preventing severe illness and death, including against t...",,,
946,janetmachuka_,2021-10-05 08:04:10+00:00,10,None,"In Kenya, these are the Covid-19 vaccines available:\n\n✅AstraZeneca\n✅Morderna\n✅Pfizer\n✅Johnson & Johnson \n✅Sinopharm\n\nCheck on the Ministry of Health's website https://t.co/rON5hTo796 f...",,,
947,bnyabuti_ke,2021-10-05 04:55:15+00:00,5,None,Very important to note that no one should charge you a single cent for the #Covid_19 vaccine in Kenya. It is FREE! \n#KuwaShujaaPataChanjo https://t.co/B6LwjSCJWn,,,
948,MwangiRukenya,2021-10-05 04:45:07+00:00,4,None,COVID-19 vaccines help our bodies develop immunity to the virus that causes COVID-19 without us having to get the illness. Different types of vaccines work in different ways to offer protection. L...,,,
949,WangechiKabiu_,2021-10-05 04:18:24+00:00,4,None,"All vaccines are effective in preventing severe disease and death due to Covid 19. WHO approved vaccines continue to be highly effective at preventing severe illness and death, including against t...",,,
950,MwangiRukenya,2021-10-05 03:42:12+00:00,4,None,"All vaccines are effective in preventing severe disease and death due to covid 19. WHO approved vaccines continue to be a highly effective at preventing severe illness and death, including against...",,,
951,ntvkenya,2021-10-04 19:20:08+00:00,65,None,"Q: Will Kenyans who have not been vaccinated be denied some govt services?\n\nDr. Andrew Mulwa: In countries like the Netherlands, you cannot access a supermarket, public service without a Covid-1...",,,
952,ntvkenya,2021-10-04 18:41:00+00:00,27,None,"SP: All vaccines are effective in preventing severe disease and death due to Covid-19. WHO approved vaccines continue to be highly effective at preventing severe illness and death, including again...",,,
953,EABCjumuiya,2021-10-04 17:32:47+00:00,7,None,Mrs. Carole Karuga @KEPSA_KENYA also recommend EABC to champion: \n\n✔EAC COVID-19 Vaccine Passport to reduce charges PCR \n✔Elimination of NTBs setting  back intra-EAC trade\n✔Tourism - Estblishm...,,,
954,Torgo99,2021-10-04 17:05:26+00:00,3,None,@graceisforyou I literally have vaccine documentation stapled into my passport as was required prior to my trip to Kenya in December of 2019. This was a month before COVID-19 was widely known. I w...,,,
955,LolweTv,2021-10-04 08:51:22+00:00,1,None,ABIY AHMED sworn in for a new term as the Prime Minister of Ethiopia after his appointment by the House of People’s Representatives. \n\n#kenya #Covid_19 #PandoraLeaks #coronavirus #PanamaPapers #...,,,
956,News_Kenya,2021-10-03 15:23:59+00:00,0,None,Vaccination: Govt to roll out Pfizer vaccines from Monday: The Ministry of Health will now roll out vaccinations of the Pfizer vaccines from Monday in the ongoing robust Covid-19 vaccination drive...,,,
957,vyroneOchola,2021-10-03 04:56:43+00:00,2,None,Other countries have discovered COVID-19 vaccines.\nWhereas Kenya & her leadership have discovered two important things: \n1 - COVID-19 is active during the NIGHT & inactive during the DAY...,,,
958,tsga0,2021-10-02 21:52:54+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya - \nBy Samuel Ouma\n\nThe US government has sent Kenya the second batch of 210,000 doses of Pfizer COVID-19 vaccines to help with the vaccinatio...",,,
959,David_Indeje,2021-10-02 07:39:26+00:00,0,None,Debunking Myths About COVID-19 Vaccines in Kenya https://t.co/Wef1Ce16Mn,,,
960,tsga0,2021-10-02 01:53:22+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya - \nBy Samuel Ouma\n\nThe US government has sent Kenya the second batch of 210,000 doses of Pfizer COVID-19 vaccines to help with the vaccinatio...",,,
961,MOH_Kenya,2021-10-01 15:28:40+00:00,6,None,The leaders agreed to have the region unite and speak with one voice in advocating for equitable and enhanced access to COVID-19 vaccines through COVAX to meet the rising demand for vaccination.,,,
962,ItsAmadala,2021-10-01 14:30:19+00:00,38,None,"A ballot box will reach the furthest corner in Kenya come August 2022. How I wish the same miracle happens for the Covid-19 vaccine that my people in Munugi Village, Vihiga County desire for.",,,
963,ggmorara,2021-10-01 12:33:41+00:00,0,None,"Did they export vaccines for Covid-19 made here in Kenya abroad so that they can import them at a higher price? Pfizer, Johnson $Johnson, Mordana and others did all their research here in Africa a...",,,
964,Blogs_Kenya,2021-10-01 11:11:31+00:00,0,None,Kagwe calls for an end to vaccine apartheid: Health Cabinet secretary Mutahi Kagwe has called on the World community to stop the Covid-19 vaccine apartheid. Speaking in Kiambu County Governors off...,,,
965,AfricaCheck,2021-10-01 09:40:16+00:00,3,None,The Covid-19 vaccine won't turn you into a fruit! Read this week's newsletter for more #debunks around Covid-19 as well as #factchecks on female genital mutilation in Kenya and Nigeria's maternal ...,,,
966,BabaKayai,2021-10-01 07:08:12+00:00,0,None,"Where to get J&J, Moderna and all COVID-19 vaccines in Kenya https://t.co/TzknSPrUyV via @capitalfmkenya",,,
967,tsga0,2021-10-01 05:53:00+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya - \nBy Samuel Ouma\n\nThe US government has sent Kenya the second batch of 210,000 doses of Pfizer COVID-19 vaccines to help with the vaccinatio...",,,
968,CHReaDKenya,2021-10-01 04:14:41+00:00,6,None,Wondering where to get Covid-19 vaccines in Kenya? Check out @Amref_Worldwide @Amref_Kenya website for all the details https://t.co/ixFjT9fBHC #VaccinesWork,,,
969,HealthNyeri,2021-09-30 14:46:35+00:00,9,None,Today's COVID-19 vaccine outreach at Kiuu Dispensary in Mukurwe-ini Sub-County. \n\nOver 75 people received the vaccine and screened for Hypertension and Diabetes. \n\nThe program is supported by ...,,,
970,WHOKenya,2021-09-30 06:47:19+00:00,20,None,"All vaccines are effective in preventing severe disease, hospitalization and death due to COVID-19. The best vaccine is the one offered to you. \n#PataChanjoKaaChonjo \n@MOH_Kenya \n@Ciheb_Kenya \...",,,
971,Blogs_Kenya,2021-09-30 04:42:06+00:00,0,None,"Covid-19 vaccine drive targets prison guards, inmates: Prisoners and correctional officers in 133 centers across Kenya are set to be vaccinated agaisnt Covid-19 in the coming weeks. The vaccinatio...",,,
972,demedici_swept,2021-09-29 19:08:02+00:00,0,None,"@ledamalekina Sorry but that response is not encouraging but knee jeck reaction,what you should be addressed on;\n* Kenya policy on tourists with regards to covid 19\n*Kenya protocols on tourists ...",,,
973,cgtnafrica,2021-09-29 17:57:04+00:00,0,None,"Kenya on Wednesday announced that it received a donation of 216,000 doses of the Pfizer COVID-19 vaccine from the U.S. Embassy in Nairobi as part of its global efforts to fight the COVID-19 pandem...",,,
974,MOH_Kenya,2021-09-29 13:10:04+00:00,11,None,Kiambu Governor James Nyoro: \n\nI thank the Health Care Workers (HCW) and Community Health Volunteers (CHV) for their contribution in the COVID 19 response. They are our key implementers in vacci...,,,
975,MOH_Kenya,2021-09-29 13:06:15+00:00,8,None,We are urging the global community to unite and ensure equity in access of COVID-19 vaccines. International solidary during this time is critical. It is important to work towards vaccine equity, w...,,
976,UNICEFKenya,2021-09-29 11:03:15+00:00,5,None,"""@UNICEFKenya has played a key role to support @MOH_Kenya in transporting and distributing these vital COVID-19 vaccines. These will undoubtedly save lives, help keep health and other essential se...",,,
977,EhiEhidan,2021-09-29 10:29:40+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya.\n Standard Gazette\n210,000 of Pfizer Covid-19 vaccines arrive in Kenya\n\nFollow ( 0 Followers ) X Follow E-mail : * Follow Unfollow By Samuel...",,,
978,PKFEA,2021-09-29 09:47:39+00:00,4,None,@PKFEA in collaboration with @KEPSA_KENYA organised a vaccination drive against COVID-19. Medical personnel from @MPShahhospital facilitated the exercise at PKF Nairobi Office. \nStaff and their d...,,,
979,HealthNyeri,2021-09-29 09:03:40+00:00,4,None,Ongoing COVID-19 vaccine outreach at Nyakahuho Dispensary in Mukurwe-ini Sub-County. \nThose who are yet to receive their first dose are urged to avail themselves at the nearest vaccination statio...,,,
980,IftiinFm,2021-09-29 08:49:20+00:00,0,None,The Ministry of Health has assured Kenyans that all COVID-19 vaccines available in Kenya are safe for adult use and have been approved by the World Health Organization.,,,
981,MintoFmradio,2021-09-29 08:43:00+00:00,0,None,The Ministry of Health has assured Kenyans that all COVID-19 vaccines available in Kenya are safe for adult use and have been approved by the World Health Organization.\n@MintoFmradio \n@KwambokaM...,,,
982,UNICEFKenya,2021-09-29 08:24:45+00:00,25,None,#HappeningNow: Launch of the accelerated campaign for COVID-19 vaccination by @MOH_Kenya. This aims to have 5.8 million people vaccinated by 20 Oct 2021.\n\n@UNICEFKenya is urging those in the pri...,,,
983,MOH_Kenya,2021-09-29 08:12:29+00:00,51,None,"All vaccines are effective in preventing severe disease, hospitalization and death due  to COVID-19.\n\n#PataChanjoKaaChonjo \n#5point8byKenyaAt58 https://t.co/LOTeKH8wlz",,,
984,WHOKenya,2021-09-29 06:36:07+00:00,31,None,We appeal to all eligible adults in Kenya to take the COVID-19 vaccine to protect themselves and their loved ones.\n\nAvoid spreading rumours or disinformation on COVID-19 vaccinations.\n#PataChan...,,,
985,tsga0,2021-09-29 05:52:56+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya - \nBy Samuel Ouma\n\nThe US government has sent Kenya the second batch of 210,000 doses of Pfizer COVID-19 vaccines to help with the vaccinatio...",,,
986,TSTGA2,2021-09-28 21:26:05+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya https://t.co/1PJ5IwcNmF",,,
987,tsga0,2021-09-28 19:53:18+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya - \nBy Samuel Ouma\n\nThe US government has sent Kenya the second batch of 210,000 doses of Pfizer COVID-19 vaccines to help with the vaccinatio...",,,
988,bevalynekwambo3,2021-09-28 18:32:03+00:00,10,None,"The Kenya Prisons Services is set to receive 100,000 doses of Covid-19 vaccine that will enable all its staff and inmates in the Country vaccinated against the virus.\n#PataChanjoKaaChonjo https:/...",,,
989,LewisMenya,2021-09-28 18:06:07+00:00,2,None,"The Kenya Prisons Services is set to receive 100,000 doses of Covid-19 vaccine that will enable all its staff and inmates in the Country vaccinated against the virus.\n#PataChanjoKaaChonjo https:/...",,,
990,tsga0,2021-09-28 17:46:32+00:00,0,None,"210,000 of Pfizer Covid-19 vaccines arrive in Kenya - \nBy Samuel Ouma\n\nThe US government has sent Kenya the second batch of 210,000 doses of Pfizer COVID-19 vaccines to help with the vaccinatio...",,,
991,PedroAtState,2021-09-28 16:33:18+00:00,1,None,"RTStateDept: The United States, in partnership with the @_AfricanUnion and @gavi #COVAX, donated 210,300 doses of the Pfizer COVID-19 vaccine to Kenya. We are committed to working with our friends...",,,
992,MOH_Kenya,2021-09-28 16:22:11+00:00,8,None,The development follows the arrival of multiple COVID -19 vaccines in the country with the Kenyan government targeting to have 10 million vaccinations by December 2021 as a key intervention in the...,,,
993,StateDept,2021-09-28 16:03:17+00:00,114,None,"The United States, in partnership with the @_AfricanUnion and @gavi #COVAX, donated 210,300 doses of the Pfizer COVID-19 vaccine to Kenya. We are committed to working with our friends in Kenya and...",,,
994,TheFavoredWoman,2021-09-28 12:49:14+00:00,1,None,Why do some people in Nigeria and Kenya hesistant about COVID-19 vaccines? Why are women suspected of contracting COVID-19 kidnapped by terror groups on the Kenya – Somalia border? \n\nJournalist ...,,,
995,MrMuraya,2021-09-28 10:39:08+00:00,1,None,‘My Arms Become Magnetized’: Myths Hampering COVID-19 Vaccine Uptake In Kenya via @shahidinews https://t.co/0LtkES0BVs,,,
996,MediaCouncilK,2021-09-28 10:24:30+00:00,10,None,Partnerships for health: The .@MediaCouncilK in partnership with .@Amref_Kenya and Coalition for Health Research & Development .@CHReaDKenya will this afternoon hold a virtual COVID-19 vaccine...,,,
997,Kenya_2U,2021-09-28 09:14:00+00:00,0,None,"President and CEO of the Mastercard Foundation, Reeta Roy, urges leaders to invest in Africa’s vaccine security, as Africa has the experience, expertise, and robust plans required to address the p...",,,
998,shahidinews,2021-09-28 07:51:47+00:00,2,None,‘My Arms Become Magnetized’: Myths Hampering COVID-19 Vaccine Uptake In Kenya via @shahidinews https://t.co/ejRKYqslk6,,,
999,MrMuraya,2021-09-28 07:51:16+00:00,3,None,‘My Arms Become Magnetized’: Myths Hampering COVID-19 Vaccine Uptake In Kenya via @shahidinews https://t.co/0LtkES0BVs,,,
1000,USAmbKenya,2021-09-28 06:44:14+00:00,116,None,The 2nd shipment of Pfizer #COVID19 vaccines have arrived in Kenya via #COVAX! This brings the total # of vaccines shipped to Kenya to over three MILLION with more on the way. Through our strong #...,,,
1001,radiovuna_102,2021-09-28 05:12:20+00:00,0,None,"Kenya has  received additional 210,000 doses of COVID-19 Pfizer vaccine from US government to boost vaccination exercise in the country. https://t.co/lJzXB78qpF",,,
1002,USEmbassyKenya,2021-09-27 21:42:25+00:00,132,None,"Happening now: The second  🇺🇸 donation of 210,600 doses of Pfizer #COVID19 vaccines via the #COVAX facility arrives in 🇰🇪. We are committed to leading the global response to the COVID-19 pandemic ...",,,
